id,user,query,product,click,purchase
0,748,,pp5006000258,True,True
1,748,Monetful Silvless Tonest Thinnings,pp5002820729,True,True
2,748,Henrying Ferrerons Rain,pp5006333851,True,True
3,748,Sleeveness Neck Plued,pp5007090169,True,True
4,748,Sleeveness Neck Plued,ppr100001067,True,False
5,748,Sleeveness Neck Plued,pp5006510521,False,False
6,748,Sleeveness Neck Plued,pp5005030112,False,False
7,748,Nutrifreshes,pp5007330375,True,True
8,748,Nutrifreshes,pp5007330375,True,False
9,751,718B Snareful,pp5006340228,True,True
10,751,718B Snareful,pp5006340228,True,False
11,658,Mat,pp5006930107,True,True
12,658,Mat,pp5006301577,False,False
13,658,Mat,19e21dd,True,False
14,658,Mat,pp5003960775,True,False
15,658,Mat,pp5005080176,False,False
16,658,Mat,pp5006830118,True,False
17,658,Mat,pp5007040120,True,False
18,658,Mat,pp5007070873,True,False
19,658,Perfect,pp5005850022,True,True
20,658,Perfect,pp5005080120,True,False
21,658,,pp5006480149,True,True
22,579,Bloomsburyment Floralling,pp5006450123,True,True
23,579,Bloomsburyment Floralling,pp5006450123,True,False
24,579,,pp5006301089,True,True
25,579,,pp5002301264,True,True
26,579,Sleeveless Jacketting Petiteing,pp5005290257,True,True
27,579,Sleeveless Jacketting Petiteing,pp5006462120,True,False
28,579,Sleeveless Jacketting Petiteing,pp5007330143,False,False
29,579,Sleeveless Jacketting Petiteing,pp5006510628,True,False
30,579,Urbanment Decays,pp5005690478,True,True
31,579,Urbanment Decays,pp5006301577,True,False
32,579,Urbanment Decays,pp5005921332,True,False
33,579,Urbanment Decays,pp5005080176,False,False
34,579,Urbanment Decays,pp5006930077,False,False
35,579,Urbanment Decays,pp5005690478,True,False
36,579,Urbanment Decays,pp5006162699,True,False
37,579,Golf,pp5004950912,True,True
38,579,Golf,1cae21a,False,False
39,579,Golf,pp5003450109,True,False
40,579,Golf,pp5004450147,False,False
41,579,Golf,1cfb0a7,False,False
42,579,All Swooshnesses Hoodieful,pp5005851252,True,True
43,579,All Swooshnesses Hoodieful,pp5005540094,True,False
44,579,Sweatshirt,pp5006070030,True,True
45,579,Sweatshirt,pp5006120161,True,False
46,579,Sweatshirt,pp5006070030,False,False
47,579,Sweatshirt,pp5006900349,True,False
48,579,Sweatshirt,pp5006060351,False,False
49,579,Sweatshirt,pp5006153017,False,False
50,579,Sweatshirt,pp5006241687,True,False
51,579,Sweatshirt,pp5006350380,False,False
52,579,Sweatshirt,pp5005980070,False,False
53,579,Adonnums Wovenful,pp5006340010,True,True
54,579,Babier,pp5006750426,True,True
55,579,Print,pp5006310741,True,True
56,579,Print,ppr100001170,False,False
57,579,Print,pp5005701177,False,False
58,579,Print,pp5006530070,False,False
59,579,Print,pp5007220069,True,False
60,579,Print,pp5006530065,True,False
61,579,Print,pp5005000116,False,False
