id,order_id,customer_id,time,product_id,product_quantity,product_unit_price,product_total_price,sales_rep,warehouse,distributor
29f51092c1,16ebc730f3,6,2010-01-01 11:50:46,pp5004950102,1,739.28,739.28,Thaxter Karran,"Mante, Bradtke and Hackett","Bechtelar, Bogan and Roberts"
94beb14ef0,c45f1f7459,915,2010-01-01 12:02:42,ens6006020026,2,55.56,111.12,Mort Carass,"Crona, Ondricka and Collier",Nienow-Hahn
94beb14ef0,c45f1f7459,915,2010-01-01 12:02:42,pp5007500078,1,18.12,18.12,Mort Carass,Keeling LLC,Nienow-Hahn
94beb14ef0,c45f1f7459,915,2010-01-01 12:02:42,pp5003560757,6,7.61,45.660000000000004,Mort Carass,Will-Durgan,Nienow-Hahn
94beb14ef0,c45f1f7459,915,2010-01-01 12:02:42,pp5006380526,2,46.53,93.06,Mort Carass,Keeling LLC,Nienow-Hahn
94beb14ef0,c45f1f7459,915,2010-01-01 12:02:42,pp5006390418,3,38.31,114.93,Mort Carass,Keeling LLC,Nienow-Hahn
94beb14ef0,c45f1f7459,915,2010-01-01 12:02:42,pp5006130001,10,30.45,304.5,Mort Carass,Murphy-Bruen,Nienow-Hahn
94beb14ef0,c45f1f7459,915,2010-01-01 12:02:42,pp5006710668,4,170.26,681.04,Mort Carass,"Crona, Ondricka and Collier",Nienow-Hahn
94beb14ef0,c45f1f7459,915,2010-01-01 12:02:42,pp5006010118,8,43.51,348.08,Mort Carass,Keeling LLC,Nienow-Hahn
304bcabd26,701b739ddc,605,2010-01-02 08:34:31,pp5007211117,9,68.58,617.22,Mort Carass,"Crona, Ondricka and Collier","Bechtelar, Bogan and Roberts"
304bcabd26,701b739ddc,605,2010-01-02 08:34:31,pp5006332254,1,53.21,53.21,Mort Carass,"Crona, Ondricka and Collier","Bechtelar, Bogan and Roberts"
304bcabd26,701b739ddc,605,2010-01-02 08:34:31,pp5006081748,10,72.8,728.0,Mort Carass,Murphy-Bruen,"Bechtelar, Bogan and Roberts"
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5005900611,4,26.58,106.32,Mort Carass,Keeling LLC,Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5006231108,1,36.25,36.25,Mort Carass,Keeling LLC,Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5005851091,10,45.93,459.3,Mort Carass,Murphy-Bruen,Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5006840148,3,82.18,246.54000000000002,Mort Carass,"Crona, Ondricka and Collier",Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5005540164,9,42.3,380.7,Mort Carass,Keeling LLC,Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5006641067,6,9.66,57.96,Mort Carass,Will-Durgan,Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5006480651,10,19.33,193.29999999999998,Mort Carass,Murphy-Bruen,Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5006640625,5,14.49,72.45,Mort Carass,Keeling LLC,Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5006333790,5,58.0,290.0,Mort Carass,"Crona, Ondricka and Collier",Nienow-Hahn
664a15381f,a9a6bc0c6c,477,2010-01-02 12:00:30,pp5007080157,6,88.7,532.2,Mort Carass,"Crona, Ondricka and Collier",Nienow-Hahn
620cb40b5a,9078ddcc4c,806,2010-01-02 17:36:39,pp5006210629,2,42.77,85.54,Sascha Gonzalo,Keeling LLC,Hegmann and Sons
620cb40b5a,9078ddcc4c,806,2010-01-02 17:36:39,pp5006242656,2,88.74,177.48,Sascha Gonzalo,"Crona, Ondricka and Collier",Hegmann and Sons
620cb40b5a,9078ddcc4c,806,2010-01-02 17:36:39,pp5003090215,7,28.47,199.29,Sascha Gonzalo,Keeling LLC,Hegmann and Sons
b75b62b8ee,f9e185bbf9,330,2010-01-02 21:14:09,pp5005740370,5,29.01,145.05,Thaxter Karran,Keeling LLC,"Bechtelar, Bogan and Roberts"
b75b62b8ee,f9e185bbf9,330,2010-01-02 21:14:09,pp5004900274,2,36.25,72.5,Thaxter Karran,Keeling LLC,"Bechtelar, Bogan and Roberts"
b75b62b8ee,f9e185bbf9,330,2010-01-02 21:14:09,pp5005500254,10,18.49,184.89999999999998,Thaxter Karran,Murphy-Bruen,"Bechtelar, Bogan and Roberts"
b75b62b8ee,f9e185bbf9,330,2010-01-02 21:14:09,pp5005740278,4,38.66,154.64,Thaxter Karran,Keeling LLC,"Bechtelar, Bogan and Roberts"
b75b62b8ee,f9e185bbf9,330,2010-01-02 21:14:09,pp5006081182,4,28.99,115.96,Thaxter Karran,Keeling LLC,"Bechtelar, Bogan and Roberts"
b75b62b8ee,f9e185bbf9,330,2010-01-02 21:14:09,pp5006870161,1,104.04,104.04,Thaxter Karran,"Crona, Ondricka and Collier","Bechtelar, Bogan and Roberts"
dea67a5e34,66d7d9bde2,673,2010-01-03 02:04:50,pp5006390225,3,184.46,553.38,Thaxter Karran,"Crona, Ondricka and Collier","Bechtelar, Bogan and Roberts"
dea67a5e34,66d7d9bde2,673,2010-01-03 02:04:50,pp5006390222,6,21.74,130.44,Thaxter Karran,Keeling LLC,"Bechtelar, Bogan and Roberts"
dea67a5e34,66d7d9bde2,673,2010-01-03 02:04:50,1e815b2,8,21.74,173.92,Thaxter Karran,Keeling LLC,"Bechtelar, Bogan and Roberts"
1b36dd122c,3a5a9ba986,759,2010-01-03 06:57:43,PP100000337,9,106.96,962.64,Thaxter Karran,"Crona, Ondricka and Collier","Bechtelar, Bogan and Roberts"
1b36dd122c,3a5a9ba986,759,2010-01-03 06:57:43,pp5003791673,7,15.36,107.52,Thaxter Karran,Keeling LLC,"Bechtelar, Bogan and Roberts"
3d3ec7004c,9c9a2148c2,484,2010-01-03 15:15:43,pp5006100969,3,5.08,15.24,Sascha Gonzalo,Will-Durgan,Nienow-Hahn
3d3ec7004c,9c9a2148c2,484,2010-01-03 15:15:43,pp5005760351,6,12.07,72.42,Sascha Gonzalo,Keeling LLC,Nienow-Hahn
