question;subject;comment;longitudeETRSGK25;latitudeETRSGK25
Hyvä paikka kohtaamiselle ja kaupunkielämälle;Mukavat nurmikot loikoilla ja katsella...;Mukavat nurmikot loikoilla ja katsella kaupunkielämää;25497040,999958500;6672747,000000000
Keskustan tinkimätön helmi;Hyvä katsomo kaupunkitapahtumille;Hyvä katsomo kaupunkitapahtumille;25497346,000153500;6673006,000000000
Keskustan tinkimätön helmi;Mainio paikka piknikille;Mainio paikka piknikille;25496148,499851000;6673960,500000000
Rauhaton tai meluisa paikka;Meluisa ja ahdas;Meluisa ja ahdas;25497126,499873000;6673208,500000000
Vaikea kulkea jalan;Ahdas paikka. bussien odottajat tukkivat...;Ahdas paikka. bussien odottajat tukkivat jalkakäytävän;25496614,499885000;6673038,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Mannermainen puisto;Mannermainen puisto;25497035,999963500;6672719,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;RAAUHALLINEN LIIKUA, AUTOJA EI PALJON...;RAAUHALLINEN LIIKUA, AUTOJA EI PALJON;25496726,999772500;6672876,000000000
Virkistävä paikka;MERI RAUHOITTAA;MERI RAUHOITTAA;25497490,000009400;6672720,000000000
Keskustan tinkimätön helmi;pERINTEINEN HELMI, HIENO KIRKKO, AVARA...;pERINTEINEN HELMI, HIENO KIRKKO, AVARA PAIKKA;25497350,000149500;6672954,000000000
Meluisa paikka;kuilu meluisa, busseja ei ka saa pois...;kuilu meluisa, busseja ei ka saa pois;25497053,999945500;6673158,000000000
Turvaton paikka;tunneli ahdas ja siellä epämääräistä...;tunneli ahdas ja siellä epämääräistä sakkia joskus;25496748,999750500;6673343,000000000
Meluisa paikka;Rekkaliikenne pois Kauppatorilta. Liikenne...;Rekkaliikenne pois Kauppatorilta. Liikenne molempiin suuntiin Etelä-Espaa pitkin.;25497376,000123500;6672723,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496099,999899500;6673307,000000000
Kehittämisideani tälle paikalle!;Vain karttamerkintä;;25496868,000131500;6673351,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496055,999943500;6672887,000000000
Virkistävä paikka;Vain karttamerkintä;;25497239,499760000;6672741,500000000
Kehittämisideani tälle paikalle!;Mannerheimintie Forumin kulmalta Stockmannin...;Mannerheimintie Forumin kulmalta Stockmannin Ruotsalaisen teatterin kulmalle kävelykaduksi. Rauhoittaisi keskustaa ja olisi remontoituna puisto- ja viihde/terassikaduksi upea.;25496692,499807000;6672860,200000000
Meluisa paikka;Vähemmän ajoneuvoliikennettä;Vähemmän ajoneuvoliikennettä;25496706,499793000;6672852,500000000
