id,user,product,quantity,time
8b8c5a33dd,748,pp5006000258,2,2010-01-01 00:46:43
8b8c5a33dd,748,pp5002820729,4,2010-01-01 00:46:43
8b8c5a33dd,748,pp5006333851,5,2010-01-01 00:46:43
8b8c5a33dd,748,pp5007090169,2,2010-01-01 00:46:43
8b8c5a33dd,748,pp5007330375,7,2010-01-01 00:46:43
ca32413719,751,pp5006340228,9,2010-01-01 12:43:52
863269d828,658,pp5006930107,1,2010-01-01 16:31:35
863269d828,658,pp5005850022,8,2010-01-01 16:31:35
863269d828,658,pp5006480149,2,2010-01-01 16:31:35
c154f2e10b,579,pp5006450123,3,2010-01-01 21:10:43
c154f2e10b,579,pp5006301089,5,2010-01-01 21:10:43
c154f2e10b,579,pp5002301264,2,2010-01-01 21:10:43
c154f2e10b,579,pp5005290257,2,2010-01-01 21:10:43
c154f2e10b,579,pp5005690478,1,2010-01-01 21:10:43
c154f2e10b,579,pp5004950912,4,2010-01-01 21:10:43
c154f2e10b,579,pp5005851252,3,2010-01-01 21:10:43
c154f2e10b,579,pp5006070030,5,2010-01-01 21:10:43
c154f2e10b,579,pp5006340010,9,2010-01-01 21:10:43
c154f2e10b,579,pp5006750426,9,2010-01-01 21:10:43
c154f2e10b,579,pp5006310741,7,2010-01-01 21:10:43
c154f2e10b,579,pp5005900872,8,2010-01-01 21:10:43
c154f2e10b,579,pp5006301284,5,2010-01-01 21:10:43
c154f2e10b,579,pp5005630532,4,2010-01-01 21:10:43
c154f2e10b,579,pp5003780233,8,2010-01-01 21:10:43
c154f2e10b,579,pp5006250333,2,2010-01-01 21:10:43
c154f2e10b,579,pp5006430084,4,2010-01-01 21:10:43
c154f2e10b,579,17149da,8,2010-01-01 21:10:43
c154f2e10b,579,pp5006241078,2,2010-01-01 21:10:43
c154f2e10b,579,pp5006451088,5,2010-01-01 21:10:43
c154f2e10b,579,pp5006960690,7,2010-01-01 21:10:43
c154f2e10b,579,pp5003870321,1,2010-01-01 21:10:43
c154f2e10b,579,pp5006450862,9,2010-01-01 21:10:43
a262804e34,53,pp5006470415,9,2010-01-02 00:45:00
c03603b044,862,pp5007240056,9,2010-01-02 02:00:53
5ee54833fd,895,pp5005040875,2,2010-01-02 02:20:50
bcab33eeb4,398,pp5006140294,6,2010-01-02 03:47:02
c5f6d4c3a5,482,pp5006380074,1,2010-01-02 08:07:22
935524c138,520,pp5003840299,10,2010-01-02 18:53:13
1f728df5d9,47,pp5006300331,6,2010-01-03 04:56:13
e5927d1c96,569,pp5006120104,8,2010-01-03 17:57:07
e5927d1c96,569,pp5006333491,1,2010-01-03 17:57:07
13a02ee060,76,1d46bf6,8,2010-01-04 23:04:07
13a02ee060,76,pp5006333126,4,2010-01-04 23:04:07
13a02ee060,76,pp5002700807,6,2010-01-04 23:04:07
13a02ee060,76,pp5002292063,8,2010-01-04 23:04:07
13a02ee060,76,pp5005750378,1,2010-01-04 23:04:07
13a02ee060,76,pp5005010325,9,2010-01-04 23:04:07
a8911cd7b0,788,pp5004680780,9,2010-01-05 11:33:44
a8911cd7b0,788,1708f55,5,2010-01-05 11:33:44
9016dec473,618,pp5006162409,7,2010-01-05 17:56:33
9016dec473,618,pp5007070954,9,2010-01-05 17:56:33
9016dec473,618,pp5002610085,2,2010-01-05 17:56:33
d33987f925,145,pp5005220788,3,2010-01-06 00:36:22
d33987f925,145,pp5006451396,6,2010-01-06 00:36:22
d33987f925,145,pp5006990066,8,2010-01-06 00:36:22
d33987f925,145,pp5006333621,9,2010-01-06 00:36:22
d33987f925,145,pp5006370266,1,2010-01-06 00:36:22
d997794cf7,830,pp5003590780,5,2010-01-06 09:24:55
6ca9aa82fc,492,pp5005180112,8,2010-01-07 00:52:58
6ca9aa82fc,492,pp5004550005,1,2010-01-07 00:52:58
a8603c1f2e,788,pp5006440079,7,2010-01-07 04:40:20
a8603c1f2e,788,pp5006490178,2,2010-01-07 04:40:20
a8603c1f2e,788,pp5006870207,7,2010-01-07 04:40:20
a887bce517,649,1d935b3,9,2010-01-08 13:33:21
a887bce517,649,pp5006380203,5,2010-01-08 13:33:21
a887bce517,649,pp5006720468,2,2010-01-08 13:33:21
a887bce517,649,pp5003880084,5,2010-01-08 13:33:21
a887bce517,649,pp5001030413,6,2010-01-08 13:33:21
a887bce517,649,pp5006560853,2,2010-01-08 13:33:21
4b31d3aa66,186,pp5003790842,5,2010-01-08 14:31:04
de579846bf,141,pp5006490014,10,2010-01-08 15:55:50
de579846bf,141,pp5003670186,7,2010-01-08 15:55:50
de579846bf,141,pp5005760099,5,2010-01-08 15:55:50
904d5bbdb7,219,pp5005810293,6,2010-01-08 18:25:17
0856754da7,832,pp5006280791,5,2010-01-09 17:31:18
0856754da7,832,pp5005840401,6,2010-01-09 17:31:18
0856754da7,832,pp5005031055,7,2010-01-09 17:31:18
4e8ae261b9,596,pp5003640013,9,2010-01-10 10:42:59
4e8ae261b9,596,pp5006620246,6,2010-01-10 10:42:59
4e8ae261b9,596,pp5006240612,10,2010-01-10 10:42:59
50ad08ceb3,832,pp5007210074,3,2010-01-11 04:21:13
50ad08ceb3,832,pp5006334429,4,2010-01-11 04:21:13
50ad08ceb3,832,pp5003990394,8,2010-01-11 04:21:13
50ad08ceb3,832,pp5006650025,9,2010-01-11 04:21:13
50ad08ceb3,832,pp5004221659,4,2010-01-11 04:21:13
50ad08ceb3,832,pp5003720687,6,2010-01-11 04:21:13
50ad08ceb3,832,pp5006790801,3,2010-01-11 04:21:13
50ad08ceb3,832,pp5006620373,5,2010-01-11 04:21:13
30fdd3311c,798,pp5006630298,6,2010-01-11 05:46:45
30fdd3311c,798,pp5005701398,6,2010-01-11 05:46:45
30fdd3311c,798,pp5004420009,2,2010-01-11 05:46:45
8c09c15ecb,538,pp5004020128,1,2010-01-11 10:22:50
8c09c15ecb,538,pp5005791216,2,2010-01-11 10:22:50
0c6ecee699,798,pp5002570469,3,2010-01-14 00:32:22
0c6ecee699,798,16b2b9c,2,2010-01-14 00:32:22
0c6ecee699,798,pp5004420009,6,2010-01-14 00:32:22
0c6ecee699,798,pp5003270779,5,2010-01-14 00:32:22
26c46ad921,52,pp5006220356,3,2010-01-14 13:02:12
0e3d1ccbf0,102,pp5006590084,8,2010-01-14 18:16:12
a67559f617,484,pp5006462412,1,2010-01-15 10:21:07
a67559f617,484,pp5006170357,5,2010-01-15 10:21:07
9bf4677ef2,97,pp5003620076,9,2010-01-16 08:03:38
9bf4677ef2,97,1dc3bf8,5,2010-01-16 08:03:38
e72ee316a1,693,pp5002831384,1,2010-01-16 09:55:12
e72ee316a1,693,pp5006360787,4,2010-01-16 09:55:12
f1d8797b43,414,pp5006331482,3,2010-01-16 10:52:15
f1d8797b43,414,pp5005140123,4,2010-01-16 10:52:15
f1d8797b43,414,pp5002410715,7,2010-01-16 10:52:15
f1d8797b43,414,pp5006060352,5,2010-01-16 10:52:15
f1d8797b43,414,pp5006760293,7,2010-01-16 10:52:15
f1d8797b43,414,pp5006240785,7,2010-01-16 10:52:15
f1d8797b43,414,pp5006040306,8,2010-01-16 10:52:15
e8755c287d,134,pp5007210987,5,2010-01-16 14:10:19
cb5b932b3b,215,pp5006332158,10,2010-01-16 19:24:39
e2c1249ab0,945,pp5005211056,7,2010-01-17 05:01:32
e2c1249ab0,945,16d837f,7,2010-01-17 05:01:32
df9f011dc7,172,pp5004111742,9,2010-01-17 10:11:17
0cb445be82,146,pp5006510310,4,2010-01-17 20:28:05
0cb445be82,146,pp5005540083,5,2010-01-17 20:28:05
0cb445be82,146,pp5006220798,8,2010-01-17 20:28:05
0cb445be82,146,pp5003980259,1,2010-01-17 20:28:05
a92c162e4c,838,pp5006870105,6,2010-01-18 01:17:30
a92c162e4c,838,pp5006730027,2,2010-01-18 01:17:30
a92c162e4c,838,pp5006350553,4,2010-01-18 01:17:30
bdf935d21a,311,pp5004990993,5,2010-01-18 07:10:35
bdf935d21a,311,pp5007040009,3,2010-01-18 07:10:35
755e43de14,48,pp5006220268,5,2010-01-18 08:30:48
ee01592bab,730,pp5006300969,5,2010-01-19 13:09:51
2f266be2ed,451,pp5005220534,7,2010-01-20 08:38:39
2f266be2ed,451,pp5006420496,2,2010-01-20 08:38:39
055a3123c8,345,pp5006140462,3,2010-01-20 17:48:28
4fded45a20,980,pp5005740278,10,2010-01-21 02:43:14
4fded45a20,980,pp5006880755,9,2010-01-21 02:43:14
