Name,"% Frequency","Approximate Number","Rank","Gender"
JAMES,3.318,4840833,1,Male
JOHN,3.271,4772262,2,Male
ROBERT,3.143,4585515,3,Male
MICHAEL,2.629,3835609,4,Male
WILLIAM,2.451,3575914,5,Male
DAVID,2.363,3447525,6,Male
RICHARD,1.703,2484611,7,Male
CHARLES,1.523,2221998,8,Male
JOSEPH,1.404,2048382,9,Male
THOMAS,1.38,2013366,10,Male
CHRISTOPHER,1.035,1510025,11,Male
DANIEL,0.974,1421028,12,Male
PAUL,0.948,1383095,13,Male
MARK,0.938,1368506,14,Male
DONALD,0.931,1358293,15,Male
GEORGE,0.927,1352457,16,Male
KENNETH,0.826,1205102,17,Male
STEVEN,0.78,1137990,18,Male
EDWARD,0.779,1136531,19,Male
BRIAN,0.736,1073795,20,Male
RONALD,0.725,1057747,21,Male
ANTHONY,0.721,1051911,22,Male
KEVIN,0.671,978963,23,Male
JASON,0.66,962914,24,Male
MATTHEW,0.657,958538,25,Male
GARY,0.65,948325,26,Male
TIMOTHY,0.64,933735,27,Male
JOSE,0.613,894343,28,Male
LARRY,0.598,872459,29,Male
JEFFREY,0.591,862246,30,Male
FRANK,0.581,847656,31,Male
SCOTT,0.546,796593,32,Male
ERIC,0.544,793675,33,Male
STEPHEN,0.54,787839,34,Male
ANDREW,0.537,783462,35,Male
RAYMOND,0.488,711973,36,Male
GREGORY,0.441,643402,37,Male
JOSHUA,0.435,634648,38,Male
JERRY,0.432,630271,39,Male
DENNIS,0.415,605469,40,Male
WALTER,0.399,582126,41,Male
PATRICK,0.389,567536,42,Male
PETER,0.381,555864,43,Male
HAROLD,0.371,541275,44,Male
DOUGLAS,0.367,535439,45,Male
HENRY,0.365,532521,46,Male
CARL,0.346,504801,47,Male
ARTHUR,0.335,488752,48,Male
RYAN,0.328,478539,49,Male
ROGER,0.322,469786,50,Male
JOE,0.321,468327,51,Male
JUAN,0.316,461032,52,Male
JACK,0.315,459573,53,Male
ALBERT,0.314,458114,54,Male
JONATHAN,0.313,456655,55,Male
JUSTIN,0.311,453737,56,Male
TERRY,0.311,453737,57,Male
GERALD,0.309,450819,58,Male
KEITH,0.308,449360,59,Male
SAMUEL,0.306,446442,60,Male
WILLIE,0.302,440606,61,Male
RALPH,0.282,411427,62,Male
LAWRENCE,0.282,411427,63,Male
NICHOLAS,0.275,401214,64,Male
ROY,0.273,398296,65,Male
BENJAMIN,0.27,393920,66,Male
BRUCE,0.263,383707,67,Male
BRANDON,0.26,379330,68,Male
ADAM,0.259,377871,69,Male
HARRY,0.251,366199,70,Male
FRED,0.251,366199,71,Male
WAYNE,0.249,363281,72,Male
BILLY,0.248,361822,73,Male
STEVE,0.246,358904,74,Male
LOUIS,0.243,354528,75,Male
JEREMY,0.242,353069,76,Male
AARON,0.24,350151,77,Male
RANDY,0.232,338479,78,Male
HOWARD,0.23,335561,79,Male
EUGENE,0.23,335561,80,Male
CARLOS,0.229,334102,81,Male
RUSSELL,0.224,326807,82,Male
BOBBY,0.223,325348,83,Male
VICTOR,0.222,323889,84,Male
MARTIN,0.216,315136,85,Male
ERNEST,0.215,313677,86,Male
PHILLIP,0.213,310759,87,Male
TODD,0.213,310759,88,Male
JESSE,0.209,304923,89,Male
CRAIG,0.206,300546,90,Male
ALAN,0.204,297628,91,Male
SHAWN,0.2,291792,92,Male
CLARENCE,0.197,287415,93,Male
SEAN,0.197,287415,94,Male
PHILIP,0.197,287415,95,Male
CHRIS,0.197,287415,96,Male
JOHNNY,0.195,284497,97,Male
EARL,0.193,281580,98,Male
JIMMY,0.191,278662,99,Male
ANTONIO,0.19,277203,100,Male
DANNY,0.19,277203,101,Male
BRYAN,0.19,277203,102,Male
TONY,0.19,277203,103,Male
LUIS,0.189,275744,104,Male
MIKE,0.189,275744,105,Male
STANLEY,0.186,271367,106,Male
LEONARD,0.186,271367,107,Male
NATHAN,0.185,269908,108,Male
DALE,0.184,268449,109,Male
MANUEL,0.181,264072,110,Male
RODNEY,0.18,262613,111,Male
CURTIS,0.18,262613,112,Male
NORMAN,0.177,258236,113,Male
ALLEN,0.174,253859,114,Male
MARVIN,0.171,249482,115,Male
VINCENT,0.168,245105,116,Male
GLENN,0.167,243647,117,Male
JEFFERY,0.166,242188,118,Male
TRAVIS,0.166,242188,119,Male
JEFF,0.166,242188,120,Male
CHAD,0.165,240729,121,Male
JACOB,0.165,240729,122,Male
LEE,0.162,236352,123,Male
MELVIN,0.162,236352,124,Male
ALFRED,0.162,236352,125,Male
KYLE,0.16,233434,126,Male
FRANCIS,0.16,233434,127,Male
BRADLEY,0.159,231975,128,Male
JESUS,0.155,226139,129,Male
HERBERT,0.155,226139,130,Male
FREDERICK,0.154,224680,131,Male
RAY,0.153,223221,132,Male
JOEL,0.152,221762,133,Male
EDWIN,0.148,215926,134,Male
DON,0.145,211549,135,Male
EDDIE,0.144,210090,136,Male
RICKY,0.141,205714,137,Male
TROY,0.138,201337,138,Male
RANDALL,0.138,201337,139,Male
BARRY,0.134,195501,140,Male
ALEXANDER,0.132,192583,141,Male
BERNARD,0.127,185288,142,Male
MARIO,0.125,182370,143,Male
LEROY,0.125,182370,144,Male
FRANCISCO,0.124,180911,145,Male
MARCUS,0.124,180911,146,Male
MICHEAL,0.123,179452,147,Male
THEODORE,0.123,179452,148,Male
CLIFFORD,0.123,179452,149,Male
MIGUEL,0.122,177993,150,Male
OSCAR,0.122,177993,151,Male
JAY,0.118,172157,152,Male
JIM,0.118,172157,153,Male
TOM,0.117,170698,154,Male
CALVIN,0.115,167781,155,Male
ALEX,0.115,167781,156,Male
JON,0.115,167781,157,Male
RONNIE,0.113,164863,158,Male
BILL,0.112,163404,159,Male
LLOYD,0.112,163404,160,Male
TOMMY,0.112,163404,161,Male
LEON,0.112,163404,162,Male
