Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
NGUYEN,Asian and Pacific Islander,297503,1,95.9%,57,310125
LEE,Asian and Pacific Islander,229197,2,37.8%,22,605860
KIM,Asian and Pacific Islander,183432,3,94.5%,109,194067
PATEL,Asian and Pacific Islander,132547,4,91.4%,172,145066
TRAN,Asian and Pacific Islander,130120,5,95.6%,188,136095
CHEN,Asian and Pacific Islander,100742,6,95.5%,260,105544
WONG,Asian and Pacific Islander,87962,7,88.5%,277,99392
LE,Asian and Pacific Islander,73697,8,95.2%,368,77453
YANG,Asian and Pacific Islander,69017,9,95.0%,397,72627
WANG,Asian and Pacific Islander,63833,10,94.5%,438,67570
CHANG,Asian and Pacific Islander,62871,11,90.1%,424,69756
CHAN,Asian and Pacific Islander,59811,12,91.0%,459,65719
PHAM,Asian and Pacific Islander,57467,13,95.9%,498,59949
LI,Asian and Pacific Islander,55729,14,96.4%,519,57786
PARK,Asian and Pacific Islander,54293,15,66.3%,343,81890
SINGH,Asian and Pacific Islander,54075,16,74.4%,396,72642
LIN,Asian and Pacific Islander,46956,17,95.1%,624,49360
LIU,Asian and Pacific Islander,45501,18,95.5%,650,47665
WU,Asian and Pacific Islander,43955,19,95.9%,683,45815
HUANG,Asian and Pacific Islander,43298,20,96.8%,697,44715
LAM,Asian and Pacific Islander,38824,21,87.5%,706,44385
HUYNH,Asian and Pacific Islander,38479,22,96.2%,790,40011
HO,Asian and Pacific Islander,37616,23,93.1%,778,40413
CHOI,Asian and Pacific Islander,35102,24,96.5%,872,36390
YU,Asian and Pacific Islander,34913,25,96.2%,874,36285
SHAH,Asian and Pacific Islander,33217,26,87.8%,831,37833
CHUNG,Asian and Pacific Islander,33151,27,91.0%,870,36422
KHAN,Asian and Pacific Islander,32933,28,70.5%,665,46713
ZHANG,Asian and Pacific Islander,32591,29,98.2%,963,33202
VANG,Asian and Pacific Islander,30037,30,92.9%,982,32333
TRUONG,Asian and Pacific Islander,26829,31,96.5%,1157,27808
NG,Asian and Pacific Islander,25879,32,94.0%,1168,27537
PHAN,Asian and Pacific Islander,25501,33,94.8%,1193,26903
LIM,Asian and Pacific Islander,25104,34,91.5%,1170,27433
XIONG,Asian and Pacific Islander,24940,35,94.7%,1219,26336
VU,Asian and Pacific Islander,24854,36,96.2%,1247,25828
CHENG,Asian and Pacific Islander,24743,37,95.1%,1238,26023
CHO,Asian and Pacific Islander,24184,38,95.6%,1277,25305
VO,Asian and Pacific Islander,23748,39,95.2%,1296,24956
TANG,Asian and Pacific Islander,23675,40,93.0%,1269,25446
NGO,Asian and Pacific Islander,22982,41,95.8%,1355,23980
CHU,Asian and Pacific Islander,22765,42,93.4%,1328,24381
LU,Asian and Pacific Islander,21996,43,95.7%,1424,22977
KANG,Asian and Pacific Islander,21786,44,92.5%,1380,23565
LY,Asian and Pacific Islander,21730,45,94.5%,1421,22990
HONG,Asian and Pacific Islander,21147,46,88.1%,1352,24017
DANG,Asian and Pacific Islander,20660,47,94.1%,1490,21953
HOANG,Asian and Pacific Islander,20374,48,95.8%,1546,21269
DO,Asian and Pacific Islander,20139,49,94.9%,1551,21230
CHIN,Asian and Pacific Islander,20012,50,77.9%,1255,25673
TAN,Asian and Pacific Islander,19691,51,91.3%,1530,21567
LAU,Asian and Pacific Islander,19618,52,76.6%,1259,25624
BUI,Asian and Pacific Islander,19557,53,93.8%,1579,20852
KAUR,Asian and Pacific Islander,19496,54,89.3%,1501,21825
HAN,Asian and Pacific Islander,18406,55,90.6%,1617,20318
MA,Asian and Pacific Islander,17888,56,94.0%,1726,19030
DUONG,Asian and Pacific Islander,17664,57,96.0%,1790,18404
LEUNG,Asian and Pacific Islander,17215,58,94.9%,1815,18140
YEE,Asian and Pacific Islander,16849,59,86.5%,1687,19483
SONG,Asian and Pacific Islander,16033,60,95.1%,1962,16856
CHEUNG,Asian and Pacific Islander,15413,61,95.9%,2069,16067
